Path	Lines of Code
vendor/thecodingmachine/safe/generated/8.2/functionsList.php	1137
vendor/thecodingmachine/safe/generated/8.2/gmp.php	8
vendor/thecodingmachine/safe/generated/8.2/gnupg.php	79
vendor/thecodingmachine/safe/generated/8.2/hash.php	21
vendor/thecodingmachine/safe/generated/8.2/image.php	817
vendor/thecodingmachine/safe/generated/8.2/imap.php	440
vendor/thecodingmachine/safe/generated/8.2/ldap.php	347
vendor/thecodingmachine/safe/generated/8.2/misc.php	128
vendor/thecodingmachine/safe/generated/8.2/mysqli.php	9
vendor/thecodingmachine/safe/generated/8.2/network.php	142
vendor/thecodingmachine/safe/generated/8.2/oci8.php	344
vendor/thecodingmachine/safe/generated/8.2/openssl.php	505
vendor/thecodingmachine/safe/generated/8.2/rector-migrate.php	1144
vendor/thecodingmachine/safe/generated/8.2/rnp.php	269
vendor/thecodingmachine/safe/generated/8.2/sodium.php	135
vendor/thecodingmachine/safe/generated/8.2/ssh2.php	242
vendor/thecodingmachine/safe/generated/8.2/stream.php	250
vendor/thecodingmachine/safe/generated/8.3/rector-migrate.php	1144
vendor/thecodingmachine/safe/generated/8.4/apache.php	64
vendor/thecodingmachine/safe/generated/8.4/array.php	59
vendor/thecodingmachine/safe/generated/8.4/curl.php	118
vendor/thecodingmachine/safe/generated/8.4/datetime.php	210
vendor/thecodingmachine/safe/generated/8.4/ftp.php	222
vendor/thecodingmachine/safe/generated/8.4/functionsList.php	1105
vendor/thecodingmachine/safe/generated/8.4/gettext.php	16
vendor/thecodingmachine/safe/generated/8.4/ibmDb2.php	124
vendor/thecodingmachine/safe/generated/8.4/image.php	811
vendor/thecodingmachine/safe/generated/8.4/imap.php	427
vendor/thecodingmachine/safe/generated/8.4/info.php	174
vendor/thecodingmachine/safe/generated/8.4/inotify.php	29
vendor/thecodingmachine/safe/generated/8.4/ldap.php	344
vendor/thecodingmachine/safe/generated/8.4/mbstring.php	232
vendor/thecodingmachine/safe/generated/8.4/misc.php	122
vendor/thecodingmachine/safe/generated/8.4/network.php	133
vendor/thecodingmachine/safe/generated/8.4/openssl.php	507
vendor/thecodingmachine/safe/generated/8.4/outcontrol.php	85
vendor/thecodingmachine/safe/generated/8.4/pgsql.php	428
vendor/thecodingmachine/safe/generated/8.4/posix.php	193
vendor/thecodingmachine/safe/generated/8.4/pspell.php	140
vendor/thecodingmachine/safe/generated/8.4/readline.php	53
vendor/thecodingmachine/safe/generated/8.4/rector-migrate.php	1112
vendor/thecodingmachine/safe/generated/8.4/sockets.php	248
vendor/thecodingmachine/safe/generated/8.4/sodium.php	151
vendor/thecodingmachine/safe/generated/8.4/stream.php	258
vendor/thecodingmachine/safe/generated/8.4/uodbc.php	309
vendor/thecodingmachine/safe/generated/8.4/xml.php	79
vendor/thecodingmachine/safe/generated/8.4/zlib.php	210
vendor/thecodingmachine/safe/generated/8.5/functionsList.php	1108
vendor/thecodingmachine/safe/generated/8.5/pcntl.php	101
vendor/thecodingmachine/safe/generated/8.5/rector-migrate.php	1115
vendor/thecodingmachine/safe/generated/8.5/rpminfo.php	19
vendor/thecodingmachine/safe/generated/8.5/shmop.php	17
vendor/thecodingmachine/safe/generated/8.5/uodbc.php	325
vendor/thecodingmachine/safe/generated/8.5/xdiff.php	93
vendor/thecodingmachine/safe/generated/8.5/zlib.php	210
vendor/thecodingmachine/safe/generated/8.6/functionsList.php	1107
vendor/thecodingmachine/safe/generated/8.6/ldap.php	344
vendor/thecodingmachine/safe/generated/8.6/openssl.php	515
vendor/thecodingmachine/safe/generated/8.6/pcntl.php	101
vendor/thecodingmachine/safe/generated/8.6/rector-migrate.php	1114
vendor/thecodingmachine/safe/generated/8.6/yaml.php	39
vendor/thecodingmachine/safe/generated/8.6/zlib.php	210
vendor/thecodingmachine/safe/generated/Exceptions/ApacheException.php	10
vendor/thecodingmachine/safe/generated/Exceptions/ApcuException.php	10
