path	# lines of code
vendor/fakerphp/faker/src/Faker/Extension/PhoneNumberExtension.php	7	
vendor/fakerphp/faker/src/Faker/Extension/UuidExtension.php	6	
vendor/fakerphp/faker/src/Faker/Extension/VersionExtension.php	6	
vendor/fakerphp/faker/src/Faker/Factory.php	37	
vendor/fakerphp/faker/src/Faker/Generator.php	200	
vendor/fakerphp/faker/src/Faker/Guesser/Name.php	142	
vendor/fakerphp/faker/src/Faker/ORM/CakePHP/ColumnTypeGuesser.php	62	
vendor/fakerphp/faker/src/Faker/ORM/CakePHP/EntityPopulator.php	122	
vendor/fakerphp/faker/src/Faker/ORM/CakePHP/Populator.php	67	
vendor/fakerphp/faker/src/Faker/ORM/Doctrine/backward-compatibility.php	8	
vendor/fakerphp/faker/src/Faker/ORM/Doctrine/ColumnTypeGuesser.php	68	
vendor/fakerphp/faker/src/Faker/ORM/Doctrine/EntityPopulator.php	166	
vendor/fakerphp/faker/src/Faker/ORM/Doctrine/Populator.php	63	
vendor/fakerphp/faker/src/Faker/ORM/Mandango/ColumnTypeGuesser.php	39	
vendor/fakerphp/faker/src/Faker/ORM/Mandango/EntityPopulator.php	79	
vendor/fakerphp/faker/src/Faker/ORM/Mandango/Populator.php	39	
vendor/fakerphp/faker/src/Faker/ORM/Propel/ColumnTypeGuesser.php	85	
vendor/fakerphp/faker/src/Faker/ORM/Propel/EntityPopulator.php	137	
vendor/fakerphp/faker/src/Faker/ORM/Propel/Populator.php	58	
vendor/fakerphp/faker/src/Faker/ORM/Propel2/ColumnTypeGuesser.php	87	
vendor/fakerphp/faker/src/Faker/ORM/Propel2/EntityPopulator.php	139	
vendor/fakerphp/faker/src/Faker/ORM/Propel2/Populator.php	60	
vendor/fakerphp/faker/src/Faker/ORM/Spot/ColumnTypeGuesser.php	60	
vendor/fakerphp/faker/src/Faker/ORM/Spot/EntityPopulator.php	120	
vendor/fakerphp/faker/src/Faker/ORM/Spot/Populator.php	53	
vendor/fakerphp/faker/src/Faker/Provider/Address.php	77	
vendor/fakerphp/faker/src/Faker/Provider/ar_EG/Address.php	168	
vendor/fakerphp/faker/src/Faker/Provider/ar_EG/Color.php	59	
vendor/fakerphp/faker/src/Faker/Provider/ar_EG/Company.php	57	
vendor/fakerphp/faker/src/Faker/Provider/ar_EG/Internet.php	78	
vendor/fakerphp/faker/src/Faker/Provider/ar_EG/Payment.php	9	
vendor/fakerphp/faker/src/Faker/Provider/ar_EG/Person.php	77	
vendor/fakerphp/faker/src/Faker/Provider/ar_JO/Address.php	105	
